"filename", "language", "SQL", "Java Properties", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\lessons.html", "HTML", 0, 0, 11, 0, 0, 1, 6, 18
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\lessonsToBook.html", "HTML", 0, 0, 48, 0, 0, 20, 33, 101
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\loanItem.html", "HTML", 0, 0, 118, 0, 0, 203, 63, 384
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\loanList.html", "HTML", 0, 0, 81, 0, 0, 7, 30, 118
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\loanListHistory.html", "HTML", 0, 0, 79, 0, 0, 8, 30, 117
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\login.html", "HTML", 0, 0, 26, 0, 0, 0, 5, 31
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\modifyCourse.html", "HTML", 0, 0, 91, 0, 0, 7, 25, 123
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\paymentPage.html", "HTML", 0, 0, 53, 0, 0, 1, 13, 67
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\paymentPageBookings.html", "HTML", 0, 0, 70, 0, 0, 1, 23, 94
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\seeCourse.html", "HTML", 0, 0, 43, 0, 0, 3, 16, 62
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\settings.html", "HTML", 0, 0, 691, 0, 0, 29, 189, 909
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\signup.html", "HTML", 0, 0, 77, 0, 0, 0, 13, 90
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\subscriptions.html", "HTML", 0, 0, 87, 0, 0, 10, 12, 109
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\user.html", "HTML", 0, 0, 193, 0, 0, 3, 33, 229
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\userBookings.html", "HTML", 0, 0, 52, 0, 0, 28, 33, 113
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\templates\userItems.html", "HTML", 0, 0, 75, 0, 0, 4, 36, 115
"Total", "-", 204, 24, 2929, 3562, 3385, 1858, 3047, 15009
