"filename", "language", "SQL", "Java Properties", "HTML", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\RelationUserCourse.java", "Java", 0, 0, 0, 32, 0, 0, 0, 14, 46
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\RelationUserCourseId.java", "Java", 0, 0, 0, 16, 0, 0, 0, 7, 23
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\RelationUserSubs.java", "Java", 0, 0, 0, 9, 0, 0, 0, 4, 13
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Session.java", "Java", 0, 0, 0, 60, 0, 0, 26, 29, 115
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\SessionBookings.java", "Java", 0, 0, 0, 18, 0, 0, 0, 13, 31
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\SessionBookingsId.java", "Java", 0, 0, 0, 13, 0, 0, 0, 6, 19
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Subscription.java", "Java", 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\TimesLoanedItem.java", "Java", 0, 0, 0, 9, 0, 0, 0, 5, 14
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Transferable.java", "Java", 0, 0, 0, 4, 0, 0, 3, 2, 9
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\User.java", "Java", 0, 0, 0, 301, 0, 0, 23, 74, 398
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Utils.java", "Java", 0, 0, 0, 59, 0, 0, 0, 13, 72
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\application.properties", "Java Properties", 0, 24, 0, 0, 0, 0, 17, 10, 51
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\import.sql", "SQL", 204, 0, 0, 0, 0, 0, 54, 97, 355
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\addCourse.css", "CSS", 0, 0, 0, 0, 0, 87, 8, 21, 116
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\bookLesson.css", "CSS", 0, 0, 0, 0, 0, 125, 14, 49, 188
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\calendar.css", "CSS", 0, 0, 0, 0, 0, 346, 315, 65, 726
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\carrouselCard.css", "CSS", 0, 0, 0, 0, 0, 57, 33, 15, 105
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\chat.css", "CSS", 0, 0, 0, 0, 0, 303, 35, 58, 396
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\chats.css", "CSS", 0, 0, 0, 0, 0, 179, 18, 32, 229
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\courses.css", "CSS", 0, 0, 0, 0, 0, 115, 38, 42, 195
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\coursesStaff.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 3
